text,target,num_characters,num_words,num_sentance,transformed_text
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,155,32,3,urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,196,41,3,search right word thank breather promis wont take help grant fulfil promis wonder bless time
I HAVE A DATE ON SUNDAY WITH WILL!!,0,35,10,2,date sunday
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,149,28,2,xxxmobilemovieclub use credit click wap link next txt messag click http
Oh k...i'm watching here:),0,26,9,1,oh k watch
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,81,22,3,eh u rememb 2 spell name ye v naughti make v wet
Fine if thats the way u feel. Thats the way its gota b,0,56,14,2,fine way u feel way gota b
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",1,155,28,2,england v macedonia dont miss news txt ur nation team 87077 eg england 87077 tri wale scotland poboxox36504w45wq
Is that seriously how you spell his name?,0,41,9,1,serious spell name
I‘m going to try for 2 months ha ha only joking,0,47,13,1,go tri 2 month ha ha joke
So ü pay first lar... Then when is da stock comin...,0,52,13,1,ü pay first lar da stock comin
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,88,23,3,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi
Ffffffffff. Alright no way I can meet up with you sooner?,0,57,13,2,ffffffffff alright way meet sooner
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,144,35,6,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
Lol your always so convincing.,0,30,6,1,lol alway convinc
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,134,34,5,catch bu fri egg make tea eat mom left dinner feel love
"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,75,22,1,back amp pack car let know room
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,64,16,5,ahhh work vagu rememb feel like lol
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,130,30,1,wait still clear sure sarcast x want live us
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,0,188,48,6,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wo go badli cheer
K tell me anything about you.,0,29,7,1,k tell anyth
For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,84,18,2,fear faint housework quick cuppa
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,158,30,2,thank subscript rington uk mobil charg pleas confirm repli ye repli charg
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,122,30,1,yup ok go home look time msg ü xuhui go learn 2nd may lesson 8am
"Oops, I'll let you know when my roommate's done",0,47,12,1,oop let know roommat done
I see the letter B on my car,0,28,8,1,see letter b car
Anything lor... U decide...,0,27,6,1,anyth lor u decid
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,155,37,4,hello saturday go text see decid anyth tomo tri invit anyth
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,82,20,4,pl go ahead watt want sure great weekend abiola
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,142,35,4,forget tell want need crave love sweet arabian steed mmmmmm yummi
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,172,34,2,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow
WHO ARE YOU SEEING?,0,19,5,1,see
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,72,22,3,great hope like man well endow lt gt inch
No calls..messages..missed calls,0,32,7,1,call messag miss call
Didn't you get hep b immunisation in nigeria.,0,45,10,1,get hep b immunis nigeria
"Fair enough, anything going on?",0,31,7,1,fair enough anyth go
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,67,16,1,yeah hope tyler ca could mayb ask around bit
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,148,37,4,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker
What you thinked about me. First time you saw me in class.,0,58,14,2,think first time saw class
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,124,35,1,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,80,17,1,k fyi x ride earli tomorrow morn crash place tonight
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0,289,69,6,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,120,27,5,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,76,20,2,know mallika sherawat yesterday find lt url gt
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1,160,37,7,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss
"Sorry, I'll call later in meeting.",0,34,9,1,sorri call later meet
Tell where you reached,0,22,4,1,tell reach
Yes..gauti and sehwag out of odi series.,0,40,10,1,ye gauti sehwag odi seri
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,108,29,3,gon na pick 1 burger way home ca even move pain kill
Ha ha ha good joke. Girls are situation seekers.,0,48,11,2,ha ha ha good joke girl situat seeker
Its a part of checking IQ,0,25,6,1,part check iq
"Sorry my roommates took forever, it ok if I come by now?",0,56,14,1,sorri roommat took forev ok come
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,110,26,2,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1,152,31,2,valu custom pleas advis follow recent review mob award bonu prize call 09066364589
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0,122,28,2,today song dedic day song u dedic send ur valuabl frnd first rpli
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,159,34,3,urgent ur award complimentari trip eurodisinc trav aco entry41 claim txt di 87121 morefrmmob shracomorsglsuplt 10 ls1 3aj
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",1,78,20,2,hear new divorc barbi come ken stuff
I plane to give on this month end.,0,34,9,1,plane give month end
Wah lucky man... Then can save money... Hee...,0,46,11,1,wah lucki man save money hee
Finished class where are you.,0,29,6,1,finish class
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,45,12,2,hi babe im home wan na someth xx
K..k:)where are you?how did you performed?,0,42,14,1,k k perform
U can call me now...,0,20,6,1,u call
I am waiting machan. Call me once you free.,0,43,11,2,wait machan call free
Thats cool. i am a gentleman and will treat you with dignity and respect.,0,73,16,2,that cool gentleman treat digniti respect
I like you peoples very much:) but am very shy pa.,0,50,14,1,like peopl much shi pa
Does not operate after  &lt;#&gt;  or what,0,42,13,1,oper lt gt
Its not the same here. Still looking for a job. How much do Ta's earn there.,0,76,20,3,still look job much ta earn
"Sorry, I'll call later",0,22,6,1,sorri call later
K. Did you call me just now ah?,0,31,9,1,call ah
Ok i am on the way to home hi hi,0,32,10,1,ok way home hi hi
You will be in the place of that man,0,36,9,1,place man
Yup next stop.,0,14,4,1,yup next stop
"I call you later, don't have network. If urgnt, sms me.",0,55,16,2,call later network urgnt sm
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,121,30,3,real u get yo need 2 ticket one jacket done alreadi use multi
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,144,36,3,ye start send request make pain came back back bed doubl coin factori got ta cash nitro
I'm really not up to it still tonight babe,0,42,10,1,realli still tonight babe
"Ela kano.,il download, come wen ur free..",0,41,11,1,ela il download come wen ur free
Yeah do! Don‘t stand to close tho- you‘ll catch something!,0,58,16,2,yeah stand close catch someth
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,0,194,44,4,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff42moro includ time sheet sorri
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,141,28,2,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,137,24,1,pleas call custom servic repres 0800 169 6031 guarante cash prize
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,107,23,3,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",1,158,37,5,free rington wait collect simpli text password mix 85069 verifi get usher britney fml po box 5249 mk17 92h 450ppw 16
Watching telugu movie..wat abt u?,0,33,8,1,watch telugu movi wat abt u
i see. When we finish we have loads of loans to pay,0,51,13,2,see finish load loan pay
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",0,178,44,5,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u
I see a cup of coffee animation,0,31,7,1,see cup coffe anim
Please don't text me anymore. I have nothing else to say.,0,57,14,2,pleas text anymor noth els say
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,81,23,3,okay name ur price long legal wen pick u ave x am xx
I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,76,19,2,still look car buy gone 4the drive test yet
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,183,44,5,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
Umma my life and vava umma love you lot dear,0,44,10,1,umma life vava umma love lot dear
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,95,19,2,thank lot wish birthday thank make birthday truli memor
"Aight, I'll hit you up when I get some cash",0,43,12,1,aight hit get cash
How would my ip address test that considering my computer isn't a minecraft server,0,82,15,1,would ip address test consid comput minecraft server
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,115,28,4,know grumpi old peopl mom like better lie alway one play joke
Dont worry. I guess he's busy.,0,30,9,2,dont worri guess busi
What is the plural of the noun research?,0,40,9,1,plural noun research
Going for dinner.msg you after.,0,31,6,1,go
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,96,28,3,ok wif co like 2 tri new thing scare u dun like mah co u said loud
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,158,33,7,gent tri contact last weekend draw show prize guarante call claim code k52 valid 12hr 150ppm
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,143,34,3,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,156,40,6,enter cabin pa said happi boss felt special askd 4 lunch lunch invit apart went
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),1,151,32,1,winner u special select 2 receiv 4 holiday flight inc speak live oper 2 claim
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,0,71,14,2,goodo ye must speak friday ratio tortilla need
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,86,20,2,hmm uncl inform pay school directli pl buy food
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,144,23,3,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,156,30,4,urgent mobil award bonu caller prize final tri contact u call landlin 09064019788 box42wr29c 150ppm
here is my new address -apples&pairs&all that malarky,0,53,12,1,new address pair malarki
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,156,29,2,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app
I am going to sao mu today. Will be done only at 12,0,51,14,2,go sao mu today done 12
Ü predict wat time ü'll finish buying?,0,38,9,1,ü predict wat time ü finish buy
"Good stuff, will do.",0,20,6,1,good stuff
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,244,56,4,know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis
Are you there in room.,0,22,6,1,room
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,107,31,5,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
K..k:)how much does it cost?,0,28,11,1,k k much cost
I'm home.,0,9,4,1,home
"Dear, will call Tmorrow.pls accomodate.",0,39,7,1,dear call accomod
First answer my question.,0,25,5,1,first answer question
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,1,125,30,4,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr 82277 sp tyron
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,162,36,6,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 150p
I only haf msn. It's yijue@hotmail.com,0,38,10,2,haf msn yiju
He is there. You call and meet him,0,34,9,2,call meet
No no. I will check all rooms befor activities,0,46,10,2,check room befor activ
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,155,35,2,rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,0,85,24,4,got c lazi type forgot ü lect saw pouch like v nice
"K, text me when you're on the way",0,33,10,1,k text way
"Sir, Waiting for your mail.",0,27,7,1,sir wait mail
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",0,156,33,1,swt thought nver get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8
I know you are. Can you pls open the back?,0,42,12,2,know pl open back
Yes see ya not on the dot,0,25,7,1,ye see ya dot
Whats the staff name who is taking class for us?,0,48,11,1,what staff name take class us
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,159,35,3,freemsg repli text randi sexi femal live local luv hear netcollex ltd 08700621170150p per msg repli stop end
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,84,16,1,call check life begin qatar pl pray hard
K..i deleted my contact that why?,0,33,9,1,k delet contact
Sindu got job in birla soft ..,0,30,7,1,sindu got job birla soft
The wine is flowing and i'm i have nevering..,0,45,11,1,wine flow never
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,59,16,1,yup thk cine better co need 2 go 2 plaza mah
Ok... Ur typical reply...,0,25,6,1,ok ur typic repli
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,384,95,5,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one
Aaooooright are you at work?,0,28,6,1,aaooooright work
I'm leaving my house now...,0,27,7,1,leav hous
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0,157,41,6,hello love get interview today happi good boy think miss
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,124,21,3,custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,145,30,1,winner u special select 2 receiv cash 4 holiday flight inc speak live oper 2 claim 0871277810810
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,115,25,1,keep safe need miss alreadi envi everyon see real life
New car and house for my parents.:)i have only new job in hand:),0,64,19,2,new car hous parent new job hand
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0,85,24,3,love excit day spend make happi
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,152,29,3,stop bootydeli invit friend repli see stop send stop frnd 62468
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1,155,35,5,bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil menu
I place all ur points on e cultures module already.,0,51,11,1,place ur point e cultur modul alreadi
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1,156,32,6,urgent tri contact last weekend draw show prize guarante call claim code s89 valid 12hr
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,74,16,1,hi frnd best way avoid missunderstd wit belov one
Great escape. I fancy the bridge but needs her lager. See you tomo,0,66,15,3,great escap fanci bridg need lager see tomo
Yes :)it completely in out of form:)clark also utter waste.,0,59,16,1,ye complet form clark also utter wast
"Sir, I need AXIS BANK account no and bank address.",0,50,12,1,sir need axi bank account bank address
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",0,93,25,2,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao
What time you coming down later?,0,32,7,1,time come later
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",0,104,24,2,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
"Well, i'm gonna finish my bath now. Have a good...fine night.",0,61,18,2,well gon na finish bath good fine night
Let me know when you've got the money so carlos can make the call,0,65,15,1,let know got money carlo make call
U still going to the mall?,0,26,7,1,u still go mall
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,146,43,1,turn friend stay whole show wo back til lt gt feel free go ahead smoke lt gt worth
Text her. If she doesnt reply let me know so i can have her log in,0,66,17,2,text doesnt repli let know log
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,126,29,3,hi spoke maneesha like know satisfi experi repli toll free ye
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,159,34,4,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend
Lol no. U can trust me.,0,23,8,2,lol u trust
ok. I am a gentleman and will treat you with dignity and respect.,0,65,15,2,gentleman treat digniti respect
"He will, you guys close?",0,24,7,1,guy close
Going on nothing great.bye,0,26,4,1,go noth
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0,152,33,6,hello handsom find job lazi work toward get back net mummi boytoy miss
"Haha awesome, be there in a minute",0,34,8,1,haha awesom minut
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,147,25,1,pleas call custom servic repres freephon 0808 145 4742 guarante cash prize
Have you got Xmas radio times. If not i will get it now,0,55,14,2,got xma radio time get
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0,88,22,3,ju reach home go bath first si use net tell u finish k
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,1,72,12,3,uniqu enough find 30th august
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0,185,44,5,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great
Hi :)finally i completed the course:),0,37,10,1,hi final complet cours
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0,111,24,2,stop howev suggest stay someon abl give or everi stool
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0,92,22,3,hope settl new school year wishin gr8 day
Gud mrng dear hav a nice day,0,28,7,1,gud mrng dear hav nice day
Did u got that persons story,0,28,6,1,u got person stori
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,0,63,16,2,hamster dead hey tmr meet 1pm orchard mrt
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0,131,34,4,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
"Found it, ENC  &lt;#&gt; , where you at?",0,40,16,1,found enc lt gt
I sent you  &lt;#&gt;  bucks,0,28,11,1,sent lt gt buck
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0,84,18,1,hello darlin ive finish colleg txt u finish u love kate xxx
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,174,44,3,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt
Goodmorning sleeping ga.,0,24,4,1,goodmorn sleep ga
U call me alter at 11 ok.,0,25,8,1,u call alter 11 ok
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,0,63,15,1,ü say like dat dun buy ericsson oso oredi lar
"Aight yo, dats straight dogg",0,28,6,1,aight yo dat straight dogg
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0,86,19,1,pleas give us connect today lt decim gt refund bill
Both :) i shoot big loads so get ready!,0,39,11,1,shoot big load get readi
"What's up bruv, hope you had a great break. Do have a rewarding semester.",0,73,18,2,bruv hope great break reward semest
Home so we can always chat,0,26,6,1,home alway chat
K:)k:)good:)study well.,0,23,12,1,k k good studi well
Yup... How ü noe leh...,0,23,7,1,yup ü noe leh
Sounds great! Are you home now?,0,31,8,2,sound great home
Finally the match heading towards draw as your prediction.,0,58,10,1,final match head toward draw predict
Tired. I haven't slept well the past few nights.,0,48,12,2,tire slept well past night
Easy ah?sen got selected means its good..,0,41,10,1,easi ah sen got select mean good
I have to take exam with march 3,0,32,8,1,take exam march 3
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0,159,40,4,yeah think use gt atm regist sure anyway help let know sure readi
Ok no prob. Take ur time.,0,25,8,2,ok prob take ur time
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0,161,33,1,os call ubandu run without instal hard disk use os copi import file system give repair shop
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0,119,30,3,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1,142,27,2,500 new mobil 2004 must go txt nokia 89545 collect today 2optout
Would really appreciate if you call me. Just need someone to talk to.,0,69,15,2,would realli appreci call need someon talk
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",1,137,34,3,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign horo ari
Hey company elama po mudyadhu.,0,30,6,1,hey compani elama po mudyadhu
